zb_url,zb_zbmc,zb_yxlx,zb_fjmc,zb_gkrs
https://www.douyu.com/331641,China阿东,魔兽争霸,ImBa 东「直播」红包上车~,2143
https://www.douyu.com/891464,太原马超丶,英雄联盟,随即中单之王，顶尖高手中的高手,1.4万
https://www.douyu.com/68172,凉风有兴,英雄联盟,斗鱼第一亚索，垃圾开播了~,1.2万
https://www.douyu.com/2138819,小只麻雀,英雄联盟,小麻雀：岩雀沙皇的屠杀盛宴,1.2万
https://www.douyu.com/544865,作作金克丝丶544865,英雄联盟,作作金克丝:签到送手办送房管~,1.2万
https://www.douyu.com/cold,Pc冷冷,绝地求生,可爱的小冷同学,3.3万
https://www.douyu.com/666817,绵绵OnO,绝地求生,：）♥ 嚯嚯嚯嚯~ ♥,3.3万
https://www.douyu.com/JiaozhuRE,带惩戒的教主,绝地求生,【教主】下午日常训练,3.1万
https://www.douyu.com/620743,暖阳125丶陆飞,主机游戏,七日杀丶日服欧美服抄家,3235
https://www.douyu.com/298960,西瓜熙,主机游戏,【西瓜】勇者斗恶龙 创造大师,3127
https://www.douyu.com/m6sama,六爷直播,主机游戏,求生之路2~16个萝莉大战僵尸~,3024
https://www.douyu.com/2281803,我是汉堡的老婆蠢货君,魔兽争霸,【宠防绿圈】 新人主播求关注,2124
https://www.douyu.com/1607542,澄海3C丶颜夏,魔兽争霸,少爷花心VS秋叶偏执,2123
https://www.douyu.com/douyan,lucifer丶大帅岩,魔兽争霸,【岩】即日起加点图群即可1办卡点图,2095
https://www.douyu.com/yanyawen,严亚炆TnT,英雄联盟,前职业中单韩服王者：艾欧尼亚王者局,1万
https://www.douyu.com/1920256,艾丨北北,英雄联盟,暴击人马   钻石局无脑carry你,9698
https://www.douyu.com/1791209,东北社会王丶,英雄联盟,社会王：你身上有他的香炉味。,8279
https://www.douyu.com/117110,辅助之光机器猫,英雄联盟,(机器猫）峡谷之巅王者分段辅助1V9喽~,8047
https://www.douyu.com/976326,小小琪吖i,绝地求生,【队霸】再吃鸡我真的要疯了，不好玩！！,2.4万
https://www.douyu.com/860782,大咖丶8,绝地求生,[大咖]: 一天100杀,2.3万
https://www.douyu.com/609649,萌青小萝莉,绝地求生,❤萌青: 少女与狗贼斗智斗勇❤,2.3万
https://www.douyu.com/250692,小阿蝎丶,绝地求生,摄像头被我吃掉了QvQ,2.2万
https://www.douyu.com/524389,安猫,主机游戏,【安猫】经典难度♥手炮速通,2733
https://www.douyu.com/740874,钙奶,主机游戏,钙奶解谜：烧烧你的脑细胞！,2654
https://www.douyu.com/ibaddog,IBADDOG,主机游戏,迪奥斯直播丨中土世界 战争之影,2395
https://www.douyu.com/530716,逍遥酱o,主机游戏,逍遥:附身2梦魇难度，娱乐搞笑解说,2364
https://www.douyu.com/977508,神唔0,魔兽争霸,RPG第一神猴,2008
https://www.douyu.com/852250,惑人,魔兽争霸,东风吹战鼓擂 我是菜鸡我怕谁,1968
https://www.douyu.com/ys0726,Macherie丶偏执,魔兽争霸,年少的心       ~,1647
https://www.douyu.com/hahalixiang,澄海3c小乖,魔兽争霸,澄海3c小乖2v23v3 大家国庆快乐~,1519
https://www.douyu.com/3487376,辛巴imb丶丶,英雄联盟,辛巴：国服第一狮子 狂送百万点券现金,6876
https://www.douyu.com/jugwu6,雾菲铭,英雄联盟,MVP全英雄打野教学学不会你砍我！,6863
https://www.douyu.com/256859,笑忘书丨,英雄联盟,小风女：你就是我的风景,6705
https://www.douyu.com/99816,今晚打老虎gg,绝地求生,Tiger:   ci鸡 次鸡！,2.2万
https://www.douyu.com/57845,催眠师Colorway,绝地求生,1小时100把(100/37)，北京伞王,2万
https://www.douyu.com/xbr,小不忍云云,绝地求生,请开始你的颜艺表演,1.9万
